success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,burn_time_s,candidate,crossrange_error_m,downrange_error_m,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,generation,ground_violation_m,guidance_gain,integrated_control_effort,load_violation_g,miss_violation_m,mission_model,optimizer_score,qbar_violation_pa,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
True,none,5.030862015265302,47.29849403958023,152701.50596041977,5.329067961522249,8.79999999999999,19946.353225232506,10.312207786580773,10,0.0,-4.990188777291223,False,2995.009811222709,0.0,-0.6384266470284476,5.546823840616639,1,0.6384266470284476,1.4999039749022158,0.40195633175563505,0.0,0.0,point_mass,17.882441134560775,0.0,-0.6384266470284476,-9.138309351082276,528.7325600688695,2266.6310483218826
True,none,16.730676670710665,67.09757284642727,132902.42715357273,4.548157758290043,9.349999999999998,18172.33827974386,10.027103331214166,11,0.0,1.2484920938354662,False,3001.2484920938355,0.0,-16.684028570806646,6.061072474521566,1,16.684028570806646,1.661546628866859,0.5007712778598581,0.0,0.0,point_mass,24.838379023490436,0.0,-16.684028570806646,-9.131275289952823,492.67429301050254,1943.565591416458
True,none,21.005057492347806,67.36286542506664,132637.13457493336,4.546992443221538,9.299999999999997,18075.160000173037,9.706979007387725,12,0.0,-19.839655573662185,False,2980.160344426338,0.0,-6.899312065365052,6.22747818389179,1,6.899312065365052,1.4456536424877713,0.44110901744606834,0.0,0.0,point_mass,28.97578767876085,0.0,-6.899312065365052,-9.492183928522874,492.5139554496851,1943.565591416458
True,none,9.598960865401471,67.23704127090753,132762.95872909247,4.545857077104846,9.349999999999998,18172.33827974386,10.326465812382772,13,0.0,0.030848116321521957,False,3000.0308481163215,0.0,-9.598911297080955,5.885363018113104,1,9.598911297080955,1.4217772971323375,0.4495250638881423,0.0,0.0,point_mass,17.68574295450921,0.0,-9.598911297080955,-9.498496569488386,492.66421769226133,1943.565591416458
True,none,12.019996402732076,62.771647119030355,137228.35288096964,4.7212256948418245,9.199999999999996,18541.964667560245,10.006336264928539,14,0.0,-8.18074299626096,False,2991.819257003739,0.0,-8.8065746775247,5.976213312917935,1,8.8065746775247,1.5305913673654796,0.4424877544777668,0.0,0.0,point_mass,21.14621400243777,0.0,-8.8065746775247,-9.298604009657815,500.9482091910536,2015.4309421261135
True,none,24.241790481258793,69.3228047020959,130677.19529790411,7.8783016509327215,11.700000000000031,18620.0,9.750979363104687,15,0.0,-12.548158282910663,False,4016.866708648792,0.0,-182.46059224004452,6.5,1,182.46059224004452,1.8365245300474644,9.55717888021493,0.0,0.0,point_mass,32.46336977594441,0.0,-182.46059224004452,-10.301922818228642,428.0964878922366,1900.0
True,none,3.0563448537930586,48.29946493791774,151700.53506208226,5.266143209321134,8.84999999999999,19829.249399715638,9.961466291218871,16,0.0,2.893292995891443,False,3002.8932929958914,0.0,-0.9849362950124396,5.77475226219547,1,0.9849362950124396,1.446640101422136,0.4016079903408517,0.0,0.0,point_mass,15.64067451282104,0.0,-0.9849362950124396,-9.24063862709095,526.9792077106313,2240.5931525102446
True,none,13.970998371236224,62.029531053628624,137970.46894637137,4.752839794685553,9.199999999999996,18659.38760197567,10.312207786580773,17,0.0,0.20352927522526443,False,3000.2035292752253,0.0,-13.9695157869989,5.798952197008305,1,13.9695157869989,1.6777542369845073,0.4742310405482397,0.0,0.0,point_mass,23.32595631516761,0.0,-13.9695157869989,-9.052998662778714,502.12337165408525,2028.194304562578
True,none,9.239921997112015,43.54110339163197,156458.89660836803,5.4721976587324805,8.699999999999989,20231.76698970124,9.979723937897786,18,0.0,-9.097730620670518,False,2990.9022693793295,0.0,1.6147619225224874,5.666489409115854,1,0.0,1.4999039749022158,0.3961798910579013,0.0,0.0,point_mass,22.94052347806846,0.0,1.6147619225224874,-9.080390822956794,535.3000442839692,2325.490458586344
True,none,5.030862015265302,47.29849403958023,152701.50596041977,5.329067961522249,8.79999999999999,19946.353225232506,10.312207786580773,19,0.0,-4.990188777291223,False,2995.009811222709,0.0,-0.6384266470284476,5.546823840616639,1,0.6384266470284476,1.4999039749022158,0.40195633175563505,0.0,0.0,point_mass,17.882441134560775,0.0,-0.6384266470284476,-9.138309351082276,528.7325600688695,2266.6310483218826
True,none,3.0563448537930586,48.29946493791774,151700.53506208226,5.266143209321134,8.84999999999999,19829.249399715638,9.961466291218871,20,0.0,2.893292995891443,False,3002.8932929958914,0.0,-0.9849362950124396,5.77475226219547,2,0.9849362950124396,1.446640101422136,0.4016079903408517,0.0,0.0,point_mass,15.64067451282104,0.0,-0.9849362950124396,-9.24063862709095,526.9792077106313,2240.5931525102446
True,none,9.598960865401471,67.23704127090753,132762.95872909247,4.545857077104846,9.349999999999998,18172.33827974386,10.326465812382772,21,0.0,0.030848116321521957,False,3000.0308481163215,0.0,-9.598911297080955,5.885363018113104,2,9.598911297080955,1.4217772971323375,0.4495250638881423,0.0,0.0,point_mass,17.68574295450921,0.0,-9.598911297080955,-9.498496569488386,492.66421769226133,1943.565591416458
True,none,22.201144079007772,67.62811293507143,132371.88706492857,4.5461915155831685,9.299999999999997,18075.160000173037,9.961466291218871,22,0.0,-21.57249291973494,False,2978.427507080265,0.0,-5.24579332845354,6.068383733154562,2,5.24579332845354,1.4,0.43596573183736387,0.0,0.0,point_mass,30.1320871389201,0.0,-5.24579332845354,-9.555116365550141,492.0364129133501,1943.565591416458
