run,success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,crossrange_error_m,downrange_error_m,failed,final_x_m,final_y_m,final_z_m,fuel_used_kg,ground_violation_m,integrated_control_effort,load_violation_g,miss_violation_m,mission_model,qbar_violation_pa,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps
842,True,none,16.01605465667602,47.29264244910248,152707.35755089752,5.491947494866646,8.699999999999989,20023.26507906341,0.12419785059757368,-11.97974720718139,False,2988.0202527928186,0.12419785059757368,-10.629404428827147,4.712499999999423,10.629404428827147,0.4943542872916147,0.0,0.0,point_mass,0.0,-10.629404428827147,-8.889518264116036,533.8989708454416
843,False,ground_intercept,231.32503571453574,-1.325035714535744,126497.6990847889,4.555111940801058,8.899999999999991,18180.525594794715,0.9290869335177837,-231.30311978200325,True,2768.6968802179967,0.9290869335177837,-3.045607478559698,4.820833333332743,3.045607478559698,0.5107677245936512,0.0,1.325035714535744,point_mass,0.0,-3.045607478559698,-8.873620457133025,475.38654415742207
844,True,none,17.0294568632054,52.64990589946587,147350.09410053413,5.24248060572592,8.899999999999991,19868.434977253157,0.029755748343109862,-14.317960957787818,False,2985.682039042212,0.029755748343109862,-9.219409398788937,4.820833333332743,9.219409398788937,0.4757957245765587,0.0,0.0,point_mass,0.0,-9.219409398788937,-7.9984638413962035,514.685225749168
845,True,none,22.669452591582356,51.55611154764672,148443.88845235328,5.1648819076071835,8.949999999999992,19718.841693162896,-1.0799046598345883,-16.51406162903004,False,2983.48593837097,-1.0799046598345883,-15.492696835614689,4.847916666666073,15.492696835614689,0.5021457807510508,0.0,0.0,point_mass,0.0,-15.492696835614689,-8.198006866681887,511.13516624624737
846,False,ground_intercept,246.29837234467962,-16.29837234467962,143702.58217603248,5.291089030470103,8.399999999999984,19044.557568012846,-0.0514245296501011,-246.29464453797482,True,2753.705355462025,-0.0514245296501011,-1.3541222503253096,4.549999999999443,1.3541222503253096,0.4765433842682005,0.0,16.29837234467962,point_mass,0.0,-1.3541222503253096,-8.277085497958032,505.9408998571446
847,True,none,11.845701291718017,63.05218997679188,136947.81002320812,4.777130292260784,9.149999999999995,18671.918953584733,-0.0017561577209405429,-7.528868518473246,False,2992.4711314815268,-0.0017561577209405429,-9.145314365294526,4.956249999999393,9.145314365294526,0.5204653432404677,0.0,0.0,point_mass,0.0,-9.145314365294526,-8.127464404591457,505.14308601722996
848,True,none,24.832454596463947,65.85679873965034,134143.20126034966,8.031092154648533,12.000000000000036,23537.0513290019,-0.1381425717326907,-13.613579732425023,False,4013.633938731502,5.886561340910294,-179.8249906857861,6.499999999999204,179.8249906857861,10.661591320230007,0.0,0.0,point_mass,0.0,-179.8249906857861,-10.563103575625243,307.7708215565328
849,False,ground_intercept,237.46929142369024,-7.469291423690237,146041.2828895079,5.517062579075968,8.299999999999983,19705.188550643878,-0.24754659763025838,-237.46359390073758,True,2762.5364060992624,-0.24754659763025838,-1.6262415863303317,4.495833333332783,1.6262415863303317,0.46571150789512555,0.0,7.469291423690237,point_mass,0.0,-1.6262415863303317,-8.136411305324971,513.7793656351274
850,True,none,10.239740757615515,53.6272345095514,146372.7654904486,5.097888683067246,8.949999999999992,20031.816341558384,-0.4299560092967799,-4.3861869652528185,False,2995.613813034747,-0.4299560092967799,-9.242769742836192,4.847916666666073,9.242769742836192,0.4803178659356099,0.0,0.0,point_mass,0.0,-9.242769742836192,-8.278118652340705,518.8144992920538
851,True,none,18.122492485092696,46.482433041766726,153517.56695823328,5.37589784007972,8.79999999999999,19795.038707843603,1.1546727633218854,-2.7042141760975937,False,2997.2957858239024,1.1546727633218854,-17.882356957953743,4.766666666666083,17.882356957953743,0.5108488480163357,0.0,0.0,point_mass,0.0,-17.882356957953743,-8.319779917383753,527.5943452152
