failed,final_x_m,final_z_m,impulse_n_s,max_qbar_pa,miss_distance_m,run,success,time_of_flight_s
False,4006.493252458874,-517.0634538572252,11641.363486814651,73415.21878435167,242.2357231414491,144,False,13.70000000000006
False,4012.045345596482,-417.8333921266628,13302.084640466212,88313.47762650011,195.26937383892286,145,True,12.850000000000048
False,4015.552604410713,-457.98648788501777,12647.76320027844,85864.68031585166,217.294871554264,146,True,13.05000000000005
False,4014.793478870089,-522.2041980906614,11459.840369938891,75402.27193874336,239.9104681103628,147,False,13.950000000000063
False,4004.013281991363,-528.6437576603922,11594.9741608102,77092.78643400283,245.7905103976487,148,False,14.000000000000064
False,4001.605574044411,-457.2611118378063,12452.691035945963,82084.57538826673,213.56374360931054,149,True,13.200000000000053
False,4009.9930585741454,-503.85019744703686,12296.815568414078,79435.22605030828,239.0243366024094,150,False,13.400000000000055
False,4016.185943577886,-457.7648640660112,12698.199648373195,78218.06337701222,211.98312558883677,151,True,13.200000000000053
False,4010.1920954005222,-482.23786904796725,12444.520211554744,75153.14015505725,228.39018824871698,152,True,13.300000000000054
False,4012.245950841646,-465.14754594322943,13135.610006950988,90173.53145483766,216.2311258632026,153,True,13.250000000000053
False,4000.527459240306,-438.7497660174789,12750.776077138355,83351.1409416164,205.29230366478382,154,True,13.05000000000005
False,4008.0825184743817,-425.81452860166087,13256.279182225246,89633.84907435853,198.2975392315622,155,True,12.900000000000048
False,4013.331984525119,-509.69941295547835,11838.285267978406,78439.35405970848,237.88386490972843,156,False,13.70000000000006
False,4005.065297173985,-486.71418239534864,12537.46418383968,81049.14620033144,231.15838205722378,157,False,13.300000000000054
False,4004.4673394108636,-520.09779902392,11287.200030996437,73580.88399585708,241.11605457409368,158,False,13.850000000000062
False,4005.019730953625,-459.33457803321875,12715.843623402623,80680.8972139048,215.87958064024485,159,True,13.250000000000053
False,4000.025500250833,-416.8235341227221,14329.0,91626.92086671905,198.10756735303656,160,True,12.600000000000044
False,4011.84565890837,-474.25091097642166,12069.915609485324,76866.52454139128,223.71583364320483,161,True,13.350000000000055
False,4001.9902653056797,-507.1840608093924,11975.200655333783,76068.4720163431,235.75574057985975,162,False,13.800000000000061
False,4007.233030065753,-455.74176546381597,12704.887072626763,83171.5391974521,217.55775896341942,163,True,13.05000000000005
False,4002.325560138973,-484.3470590022866,12417.25119531841,81975.07309682213,228.44642140574337,164,True,13.350000000000055
False,4011.097813650467,-453.6843787710116,12702.770388487117,81956.62853490822,210.14399524164307,165,True,13.150000000000052
False,4003.913870102557,-450.64569584469814,12571.793827430236,84032.34045148852,211.54530481600872,166,True,13.150000000000052
False,4007.0585832185734,-444.627419465706,12902.71580297353,84090.898100981,209.04729986323534,167,True,13.100000000000051
False,4006.8453948428637,-417.9577457415262,13464.697240954534,87558.45169618794,200.0334457375119,168,True,12.650000000000045
False,4003.455800777802,-458.7637298545554,13025.102593949801,86143.79315476253,214.0473179012415,169,True,13.150000000000052
False,4009.8302597347265,-475.4820015071104,12561.2086918598,81049.310326572,219.28359807581302,170,True,13.500000000000057
False,4006.891347418529,-437.5625459232797,12652.50516958905,84593.45503186033,202.35486924695962,171,True,13.150000000000052
False,4010.100017335903,-600.7087313958508,10626.0,66430.9566522704,277.58959026391574,172,False,14.550000000000072
False,4010.6915662478605,-536.2067000270449,11208.648780551159,73150.19668489494,249.5932283876718,173,False,14.000000000000064
False,4011.6607290757715,-422.82258494762397,13519.19502139549,92897.7644188286,197.08202829321684,174,True,12.800000000000047
