success,failure_reason,miss_distance_m,robustness_margin,max_qbar_pa,max_load_g,time_of_flight_s,impulse_n_s,burn_time_s,candidate,crossrange_error_m,dominance_rank,downrange_error_m,failed,feasible,final_x_m,final_y_m,final_z_m,fuel_used_kg,generation,ground_violation_m,guidance_gain,impulse_n_s_percentile_score,integrated_control_effort,load_violation_g,miss_distance_m_percentile_score,miss_violation_m,mission_model,optimizer_score,percentile_score,qbar_violation_pa,robustness_margin_percentile_score,robustness_score,terminal_altitude_m,terminal_flight_path_angle_deg,terminal_speed_mps,thrust_n
True,none,33.04126331589318,68.96240543253985,131037.59456746015,7.754591847625635,11.900000000000034,22390.38719985783,11.537178920824326,21,0.0,2,-15.177779735533022,False,True,4015.5428766940604,0.0,-175.75604556411756,6.5,2,175.75604556411756,2.255444455087114,0.22580645161290325,10.612424843075523,0.0,0.16129032258064524,0.0,point_mass,45.08728970087004,0.4408602150537635,0.0,0.935483870967742,68.301580166222,-175.75604556411756,-9.679918940190376,337.8221967527645,1938.5616623253509
True,none,20.65017909575742,56.48793264677585,143512.06735322415,5.0034173698350735,9.049999999999994,19287.111691443726,11.41115254007165,3,0.0,3,4.707353893647905,False,True,3004.707353893648,0.0,-20.106484426841373,5.155044575334131,0,20.106484426841373,2.0085692352115934,0.7419354838709677,0.5279854593269577,0.0,0.5161290322580645,0.0,point_mass,31.464100890184774,0.6344086021505376,0.0,0.6451612903225806,56.074929064860704,-20.106484426841373,-8.487589069216037,511.7895073323928,2131.1725625904724
True,none,25.789978176417645,68.43932034448089,131560.6796555191,7.823816659039568,11.850000000000033,21134.165440143952,10.913997595647713,12,0.0,3,6.367658957436561,False,True,4015.1656755160516,0.0,-178.2750672211105,6.5,1,178.2750672211105,1.9219655465270877,0.32258064516129037,10.323975134307421,0.0,0.4193548387096775,0.0,point_mass,36.65824556488946,0.5376344086021506,0.0,0.8709677419354839,67.92352078095254,-178.2750672211105,-10.223046403206897,370.2432919957687,1930.060770789404
True,none,27.47137556385257,57.78017367908795,142219.82632091205,8.545154973662383,11.350000000000026,20923.562055670427,9.971791980844564,15,0.0,3,5.2623820592893935,False,True,4008.032803164255,0.0,-165.0058904857228,6.5,1,165.0058904857228,2.2602161801830896,0.3870967741935484,9.526912122182981,0.0,0.3870967741935484,0.0,point_mass,39.7279115676598,0.5053763440860215,0.0,0.7419354838709677,57.2307461678109,-165.0058904857228,-9.14329715093838,417.03600027382026,2092.3562055670386
True,none,11.646420309003608,36.76584865369162,163234.15134630838,5.769547245123041,8.549999999999986,20924.51633808522,11.070382231481032,28,0.0,3,-5.427170564055814,False,True,2994.572829435944,0.0,-10.304607012526862,5.020151864491112,3,10.304607012526862,2.012847819628836,0.3548387096774194,0.42657399144105973,0.0,0.9032258064516129,0.0,point_mass,27.056059349035085,0.4731182795698925,0.0,0.16129032258064524,36.53292024751155,-10.304607012526862,-8.315251636154759,546.4636463531683,2447.311852407621
False,ground_intercept,256.41347850058406,-26.413478500584063,131642.9021626245,4.905524255046049,8.599999999999987,17957.514055370215,11.411058763526208,25,0.0,3,-256.4106486890978,True,True,2743.589351310902,0.0,-1.204655803766507,4.8987566498802835,3,1.204655803766507,2.8266132288114836,0.9032258064516129,0.5089394469316665,0.0,0.06451612903225812,26.413478500584063,point_mass,278.3330143310419,0.3440860215053763,0.0,0.06451612903225812,-31.541748070595744,-1.204655803766507,-8.303111231756558,490.88788484628185,2088.083029694209
True,none,28.22708109678945,64.94162402049656,135058.37597950344,8.014722211581418,11.700000000000031,22326.98102688342,11.15153290953789,20,0.0,4,-12.592895710612993,False,True,4000.3273643677767,0.0,-170.55726526135507,6.5,2,170.55726526135507,2.1478394893743245,0.25806451612903225,10.193386881659233,0.0,0.3548387096774194,0.0,point_mass,40.812818520598384,0.4731182795698925,0.0,0.8064516129032258,64.37708239856077,-170.55726526135507,-9.68030895324112,354.93696285088225,1993.480448828885
True,none,31.99931489320113,66.11459449324478,133885.40550675523,7.871929258036531,11.750000000000032,23392.697591459124,12.265259733225966,1,0.0,4,2.899695515138319,False,True,4002.889165049304,0.0,-170.64720998100617,6.22693702874507,0,170.64720998100617,2.3270439797724203,0.19354838709677424,10.359344727891427,0.0,0.22580645161290325,0.0,point_mass,45.47482331067354,0.4193548387096775,0.0,0.8387096774193549,65.47460819538075,-170.64720998100617,-9.417977654780527,325.68857880340204,1990.8678801241722
False,ground_intercept,267.3136223282496,-37.31362232824961,132402.19403394414,4.947052939679171,8.549999999999986,17993.10725826341,11.048253585013668,5,0.0,4,-267.29947924578073,True,True,2732.7005207542193,0.0,-2.749741294104579,5.0302067718093255,0,2.749741294104579,2.9991805536290856,0.8709677419354839,0.5184983677773757,0.0,0.032258064516129004,37.31362232824961,point_mass,290.90377293575045,0.3118279569892473,0.0,0.032258064516129004,-42.6598947748146,-2.749741294104579,-8.175614029315925,492.264900647959,2104.4569892705726
True,none,20.11634104922068,50.19072955612209,149809.2704438779,5.227755387277808,8.899999999999991,19787.540900509684,10.789220320573197,14,0.0,5,7.132587489248635,False,True,3007.1325874892486,0.0,-18.809395867937248,5.361833226232903,1,18.809395867937248,2.0549402170413837,0.6451612903225806,0.5158236368513549,0.0,0.5806451612903226,0.0,point_mass,32.37527251631205,0.5591397849462366,0.0,0.4516129032258065,49.78840273513768,-18.809395867937248,-8.325792938356567,522.9380643599528,2223.319202304459
